Title,Year,Genre,Rating,Duration,Description,Stars,Directors
Merantau,2009,"Action, Drama",6.7,134,A young man from the countryside uses his skills in silat martial arts to survive the slave trade.,"['Iko Uwais', 'Sisca Jessica', 'Christine Hakim', 'Mads Koudal']",['Gareth Evans']
Miracle in Cell No. 7,2022,"Comedy, Drama, Family",7.7,145,"A mentally ill man faces the consequences of a corrupt Indonesian politician as he is wrongly accused of murder, and all he wishes is to see his daughter again.","['Vino G. Bastian', 'Graciella Abigail', 'Mawar Eva de Jongh', 'Indro Warkop']",['Hanung Bramantyo']
KKN di Desa Penari,2022,"Horror, Mystery, Thriller",6.0,130,Six students who had to carry out KKN in a remote village are warned not to cross the boundary of the forbidden gate that leading to the mysterious place that may related to the figure of a beautiful dancer who began to disturb them.,"['Tissa Biani Azzahra', 'Adinda Thomas', 'Achmad Megantara', 'Aghniny Haque']",['Awi Suryadi']
Halfworlds,2015– ,"Fantasy, Horror, Mystery",5.9,60,"A parallel world of bloodthirsty creatures from South East Asian mythology has lived alongside humans for generations. They take on the appearance of humans themselves, and have been carefully concealed for centuries by a powerful family.","['Arifin Putra', 'Reza Rahadian', 'Bront Palarae', 'Alex Abbad']",[]
Hello Ghost,2023,"Comedy, Drama",8.1,114,"After a failed suicide attempt, Kresna is pursued by four ghosts who will only leave him alone if he fulfills their requests, leading him to find a new meaning in life and love for Nurse Linda.","['Onadio Leonardo', 'Enzy Storia', 'Indro Warkop', 'Tora Sudiro']",['Indra Gunawan']
Mencuri Raden Saleh,2022,"Action, Crime, Drama",7.3,154,"To save his father, a master forger sets out to steal an invaluable painting with the help of a motley crew of specialists.","['Iqbaal Dhiafakhri Ramadhan', 'Angga Yunanda', 'Rachel Amanda', 'Umay Shahab']",['Angga Dwimas Sasongko']
Nana,II) (2022,"Drama, History",6.6,103,"Nana, a gentle, beautiful young woman, escapes a violent anti-communist purge. Afterwards she lives comfortably as the second wife of a rich Sundanese man but her past re-emerges in her dreams.","['Happy Salma', 'Laura Basuki', 'Arswendy Bening Swara', 'Ibnu Jamil']",['Kamila Andini']
Waktu Maghrib,2023,"Horror, Mystery, Thriller",6.6,104,In a village there is a girl who says goodbye to the mosque to pray maghrib to her father.,"['Ali Fikry', 'Bima Sena', 'Nafiza Fatia Rani', 'Andri Mashadi']",['Sidharta Tata']
Bayi Ajaib,1982,Horror,6.9,94,"A diamond mine in the village is the source of competition between Kosim and Dorman. Dorman believes that the soul of his ancestor, Alberto Dominique, who is buried there, will help him achieve his ambition.","['Rina Hassim', 'Muni Cader', 'W.D. Mochtar', 'A.N. Alcaff']",['Tindra Rengat']
Perfect Strangers,2022,"Comedy, Drama",7.5,125,Seven friends who attend a dinner and decide to play a game with their cell phones which culminate in disaster when their dark secret is revealed.,"['Vino G. Bastian', 'Adipati Dolken', 'Jessica Mila', 'Denny Sumargo']",['Rako Prijanto']
Sri Asih,2022,"Action, Adventure, Drama",6.9,135,"Alana was separated from her parents and was adopted by a rich woman. As she reaches adulthood, she discovers the truth about her origin.","['Pevita Pearce', 'Ario Bayu', 'Christine Hakim', 'Jefri Nichol']",['Upi Avianto']
Kajiman: Iblis Terkejam Penagih Janji,2023,Horror,6.6,99,A nurse experiences supernatural terror while caring for an elderly patient and seeks help from a friend to uncover a dark ritual.,"['Aghniny Haque', 'Jourdy Pranata', 'Tyo Pakusadewo', 'Sekar Sari']",['Adriyanto Dewo']
Inang,2022,"Drama, Horror, Mystery",6.0,116,"Grappling with an unplanned pregnancy, a woman turns in desperation to a mysterious older couple who promise to take care of her baby.","['Naysila Mirdad', 'Dimas Anggara', 'Lydia Kandou', 'Rukman Rosadi']",['Fajar Nugros']
Hati Suhita,2023,Drama,8.3,137,Alina Suhita's unwavering determination is tested as she navigates the storms of her tumultuous marriage in pursuit of love.,"['Omar Daniel', 'Nadya Arina', 'Anggika Bolsterli', 'Ibrahim Risyad']",['Archie Hekagery']
The Doll,III) (2016,"Horror, Thriller",5.1,107,"Eerie things begin to happen after a man gives his wife a doll, unaware it once belonged to a girl who was murdered. The first of the ""Doll"" films.","['Shandy Aulia', 'Denny Sumargo', 'Sara Wijayanto', 'Vitta Mariana Barrazza']",['Rocky Soraya']
Autobiography,2022,"Drama, Mystery, Thriller",7.4,115,"A young man working as a housekeeper in an empty mansion. When its owner returns to start his mayoral election campaign, the young man bonds with him and defends him when his campaign is vandalized, setting off a chain of violence.","['Kevin Ardilova', 'Arswendy Bening Swara', 'Haru Sandra', 'Rukman Rosadi']",['Makbul Mubarak']
Dead Mine,2012,"Action, Horror",4.5,87,"The legend of Yamashita's Gold lures a treasure hunter and his group deep into the Indonesian jungle. Once they are trapped in an abandoned World War II Japanese bunker, they face the terrifying reality that the only way out is to go further in.","['Miki Mizuno', 'Sam Hazeldine', 'Ario Bayu', 'Les Loveday']",['Steven Sheil']
Penyalin Cahaya,2021,"Crime, Drama, Mystery",6.8,130,"After losing her scholarship when photos of her at a party surface online, a student pairs with a photocopy worker to piece together what happened.","['Shenina Cinnamon', 'Dea Panendra', 'Giulio Parengkuan', 'Jerome Kurnia']",['Wregas Bhanuteja']
Wedding Agreement: The Series,2022– ,"Drama, Romance",7.2,,Tari and Bian sign a wedding agreement ending their marriage after one year.,"['Indah Permatasari', 'Refal Hady', 'Susan Sameh', 'Zsazsa Utari']",[]
Killers,2014,"Action, Crime, Drama",6.4,137,A psychopathic Japanese executive accidentally triggers a journalist's 'dark side'. They begin to connect over the Internet and make a complicated bond.,"['Kazuki Kitamura', 'Oka Antara', 'Rin Takanashi', 'Luna Maya']","['Kimo Stamboel', 'Timo Tjahjanto']"
Sebelum Iblis Menjemput: Ayat Dua,2020,"Fantasy, Horror, Mystery",6.0,110,"Two years after escaping from demonic terror, the young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening: the figure of darkness rises to take their lives.","['Chelsea Islan', 'Widika Darsih Sidmore', 'Baskara Mahendra', 'Hadijah Shahab']",['Timo Tjahjanto']
"KKN di Desa Penari: Luwih Dowo, Luwih Medeni",2022,"Horror, Mystery",5.6,175,"Enrolled in a community service program, six college students face a haunting mystery in a remote village involving a mesmerizing local dancer.","['Tissa Biani Azzahra', 'Achmad Megantara', 'Calvin Jeremy', 'Adinda Thomas']",['Awi Suryadi']
Aum!,2021,"Adventure, Biography, Drama",7.5,85,A group of Indonesian activists discreetly fight for reform while under the rule and watchful eye of oppressive authorities.,"['Jefri Nichol', 'Chicco Jerikho', 'Aksara Dena', 'Agnes Natasya Tjie']","[""Bambang 'Ipoenk' K.M.""]"
Like & Share,2022,Drama,7.2,112,Two best friends who create ASMR content together discover a world of personal exploration that leads them both toward harrowing outcomes.,"['Aurora Ribero', 'Arawinda Kirana', 'Jerome Kurnia', 'Aulia Sarah']",['Gina S. Noer']
Like & Share,2022,Drama,7.2,112,Two best friends who create ASMR content together discover a world of personal exploration that leads them both toward harrowing outcomes.,"['Aurora Ribero', 'Arawinda Kirana', 'Jerome Kurnia', 'Aulia Sarah']",['Gina S. Noer']
Pintu Terlarang,2009,"Horror, Mystery, Thriller",6.6,115,The life of a successful sculptor is turned upside down when he begins receiving mysterious messages from someone who asks for his help.,"['Fachry Albar', 'Marsha Timothy', 'Ario Bayu', 'Tio Pakusadewo']",['Joko Anwar']
Suami-Suami Masa Kini,2022–2023,"Comedy, Drama",7.8,,"Yuda Pradana, Faisal ""Ical"" Setiawan, Tobi Lesmana and Raka Bumi have been friends since they were in high school. Tobi is still single and various women take turns filling his love story.","['Tanta Ginting', 'Tarra Budiman', 'Ringgo Agus Rahman', 'Marcell Darwin']",[]
Dear David,2023,"Comedy, Drama, Romance",5.8,118,A straight-A high schooler's life is turned upside down when her risqué fantasy blog about her crush is leaked to everyone at school.,"['Shenina Cinnamon', 'Emir Mahira', 'Caitlin North Lewis', 'Maya Hasan']",['Lucky Kuswandi']
Khanzab,2023,"Horror, Thriller",5.5,105,"After his father was beheaded by ninjas in Banyuwangi '98, Rahayu was traumatized to the point where he found it difficult to concentrate on his prayers due to interference from the khanzab.","['Tika Bravani', 'Yasamin Jasem', 'Arswendy Bening Swara', 'Munggaran']",['Anggy Umbara']
"Cinta Pertama, Kedua, & Ketiga",2021,"Drama, Romance",6.7,105,"Raja and Asia have the same responsibility, taking care of their two single parents respectively. If Raja wants to live independently like his two sisters.","['Angga Yunanda', 'Putri Marino', 'Slamet Rahardjo', 'Ira Wibowo']",['Gina S. Noer']
Why?,2023– ,"Drama, Romance",,,"Gladys and Given's relationship ends due to a shocking incident one night. However, what is seen on the surface is not the reality behind the scenes.","['Caitlin Halderman', 'Yesaya Abraham', 'Arya Vasco', 'Dannia Salsabila']",[]
Leák,1981,"Fantasy, Horror, Thriller",5.7,116,A woman researches a book that takes her to the black magic cult of Leák in Bali. She meets an evil witch who promises to train her dark arts. But she is tricked and turned into a flying vampire with internal organs hanging from her neck.,"['Ilona Agathe Bastian', 'Yos Santo', 'Sofia W.D.', 'W.D. Mochtar']",['H. Tjut Djalil']
Milea: Suara dari Dilan,2020,"Drama, Romance",6.2,102,Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.,"['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Ira Wibowo', 'Bucek Depp']","['Pidi Baiq', 'Fajar Bustomi']"
12 Cerita Glen Anggara,2022,"Drama, Romance",7.0,118,"Inspired to become a better person, a young man attempts to fulfill 12 unrealized life wishes of a woman he knows.","['Prilly Latuconsina', 'Junior Roberts', 'Angga Yunanda', 'Adhisty Zara']",['Fajar Bustomi']
Virgin 3: Satu Malam Mengubah Segalanya,2011,Drama,6.2,82,Add a Plot,"['Alex Abbad', 'Raffi Ahmad', 'Fikri Baladraf', 'Irish Bella']",['Nayato Fio Nuala']
Yuni,2021,Drama,7.5,95,"In her last year of secondary school, a bright Indonesian student is determined to pursue her education and resist getting married, despite the expectations of her community.","['Arawinda Kirana', 'Asmara Abigail', 'Sekar Sari', 'Marissa Anita']",['Kamila Andini']
Filosofi Kopi 3,2022,"Action, Adventure, Drama",5.3,114,"Since deciding to leave Filosofi Kopi, Ben has lived in his hometown and actively defending farmer groups whose lands have been taken over by the Company.","['Chicco Jerikho', 'Rio Dewanto', 'Hana Malasan', 'Aghniny Haque']",['Angga Dwimas Sasongko']
Ali & the Queens,2021,"Comedy, Drama",7.0,100,"After his father's passing, a teenager sets out for New York in search of his estranged mother and soon finds love and connection in unexpected places.","['Iqbaal Dhiafakhri Ramadhan', 'Aurora Ribero', 'Nirina Zubir', 'Tika Panggabean']",['Lucky Kuswandi']
Gundala,2019,"Action, Adventure, Drama",6.1,123,Indonesia's preeminent comic book superhero and his alter ego Sancaka enter the cinematic universe to battle the wicked Pengkor and his diabolical squad of orphan assassins.,"['Abimana Aryasatya', 'Tara Basro', 'Bront Palarae', 'Ario Bayu']",['Joko Anwar']
Pelet Tali Pocong,2023,Horror,6.9,77,"Adam has long been captivated by Susan's beauty, the beautiful widow who owns the tea factory where he works. Unfortunately, not only she didn't feel the same way, but Susan insulted and ...                See full summary »","['Tomy Babap', 'Abey Ghifran', 'Hana Hanifah', 'Nurul Huda']",['Dedy Mercy']
Jingga dan Senja,2021–2022,"Drama, Romance",5.7,,"Tari and Ari, two teenagers who have the name Matahari. However, destiny bring them together in an atmosphere of war. Ari, the culprit at school, gets angry when he finds out that Tari is being targeted by Angga, Ari's personal enemy.","['Abidzar Al Ghifari', 'Yoriko Angeline', 'Giulio Parengkuan', 'Keisya Levronka']",[]
Yowis Ben 3,2021,"Comedy, Drama",6.9,113,"In the midst of his fame as a music group, Yowis Ben, threatened to lose one of its personnel and also the manager who had been accompanying them.","['Bayu Skak', 'Joshua Suherman', 'Brandon Salim', 'Tutus Thomson']","['Fajar Nugros', 'Bayu Skak']"
Warkop DKI Reborn: Jangkrik Boss Part 2,2017,"Adventure, Comedy",5.5,110,"Dono, Kasino, and Indro's adventure continues. They have to search for the treasure to pay their debts. They travel to Malaysia as their first destination, but the bag with the codes to the treasure is switched with a Malaysian woman's.","['Abimana Aryasatya', 'Vino G. Bastian', 'Tora Sudiro', 'Hannah Al Rashid']",['Anggy Umbara']
My Stupid Boss,2016,Comedy,7.1,108,Diana (Bunga Citra Lestari) lives in Kuala Lumpur following her husband who works there. Diana then applied to work at a company owned by Bossman. Bossman happened to be her husband's college friend while in America.,"['Bunga Citra Lestari', 'Reza Rahadian', 'Alex Abbad', 'Bront Palarae']",['Upi Avianto']
Pengabdi Setan,1982,Horror,5.9,96,"After the death of his wife, a businessman and his two kids are plagued by visions of ghosts and demons, and soon, people around them start to die, which all started after the arrival of their new and mysterious housekeeper.","['Ruth Pelupessi', 'W.D. Mochtar', 'Fachrul Rozy', 'Simon Cader']",['Sisworo Gautama Putra']
Gita Cinta dari SMA,2023,"Drama, Romance",8.4,103,"Love relationship between two high school students, namely Galih and Ratna. However, their love relationship did not run smoothly.","['Prilly Latuconsina', 'Yesaya Abraham', 'Arla Ailani', 'Chantiq Schagerl']",['Monty Tiwa']
Anak Titipan Setan,2023,Horror,6.9,108,"Eyang Susana made a gift agreement with a demon named 'Jaran Penoleh'. The agreement made her have to prepare sacrifices in the form of 10 year old children to the devil. If can't, then Eyang Susana's life will be at stake.","['Gisella Anastasia', 'Ingrid Widjanarko', 'Annisa Hertami', 'Nano Asmorodono']","['Erwin Arnada', 'Wahyuddin Hasani Widodo']"
Satria Dewa: Gatotkaca,2022,"Action, Adventure, Drama",5.3,129,"Legends collide as young Yuda wrestles with his newfound godlike powers, defending his world in an endless battle against ancient and powerful evils.","['Rizky Nazar', 'Yasmin Napper', 'Omar Daniel', 'Ali Fikry']",['Hanung Bramantyo']
Marlina Si Pembunuh dalam Empat Babak,2017,"Drama, Thriller, Western",6.9,93,"Marlina lives quietly in Sumba until one day a man named Markus and his gang try to rob her house and she kills him. Eventually, she is haunted by Markus, and her life turns in 180 degrees.","['Marsha Timothy', 'Egy Fedly', 'Tumpal Tampubolon', 'Yoga Pratama']",['Mouly Surya']
Scandal,2021–2023,"Drama, Romance, Thriller",4.3,49,"The public was shocked by the viral video of Atiqah, a famous model with millions of fans. The viral video is not without reason, Atiqah is considered to have violated the rules of Royals ...                See full summary »","['Ibnu Jamil', 'Atiqah Hasiholan', 'Maddy Slinger', 'Cinta Brian']",[]
Nanti kita cerita tentang hari ini,2020,Drama,7.4,121,"Three siblings live in happy-looking families, but one of them changes and gets warned by his parents, prompting the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families.","['Rio Dewanto', 'Sheila Dara Aisha', 'Rachel Amanda', 'Sinyo Riza']",['Angga Dwimas Sasongko']
Selesai,2021,Drama,4.8,83,"A woman who wants to leave her husband because she is tired of being cheated on. In an effort to protect her mother-in-law's feelings, her husband discovers new facts that have never been revealed.","['Ariel Tatum', 'Gading Marten', 'Anya Geraldine', 'Marini']",['Tompi']
Scandal Makers,2023,"Comedy, Drama, Music",7.1,86,"Oscar, a has-been celebrity, is dying to get his name back up, when an opportunity finally appears albeit in form of a scandal: his love child from the past, Karin, suddenly shows up, with a baby of her own named Gempa.","['Vino G. Bastian', 'Beby Tsabina', 'Jared Ali', 'Frederika Cull']",['Jeihan Angga']
96 Jam,2023– ,Action,8.4,,"Six elite students, a teacher, and a cleaning service worker from Mandiri Jaya High School are kidnapped. As they face a life-and-death situation, the facts behind their abduction begin to unravel.","['Bastian Steel', 'Maudy Effrosina', 'Gabriella Ekaputri', 'Irzan Faiq']",[]
"Crazy, Stupid, Love",2022,"Comedy, Drama, Romance",8.4,107,"Surya goes to Yogyakarta by night bus and sits next to Asti, whom he saves from pranksters. Unexpectedly, the meeting with Asti changes Surya's life, both in love and in his relationship with his parents.","['Dimas Anggara', 'Susan Sameh', 'Chicco Kurniawan', 'Tania Ayu Siregar']",['Ainun Ridho']
Nussa: The Movie,2021,"Animation, Adventure, Comedy",7.4,107,Nussa's life changed when he met a new friend who was much more liked by his friends than himself.,"['Muzakki Ramdhan', 'Aysha Razaana Ocean Fajar', 'Fenita Arie', 'Ali Fikry']",['Bony Wirasmono']
Pertaruhan: The Series,2022–2023,"Action, Crime, Drama",8.2,60,"In this story, Elzan fights for the integrity of his family by risking everything to defend his family home against a bank's attempts to confiscate their property and ruin their lives.","['Jefri Nichol', 'Giulio Parengkuan', 'Clara Bernadeth', 'Widika Darsih Sidmore']",[]
Wedding Agreement,2019,"Drama, Romance",7.0,100,Tari (Indah Permatasari) is immediately confronted with a marriage agreement with Bian (Refal Hady) which says that they would divorce within one year because their marriage is only for the sake of his parents.,"['Indah Permatasari', 'Refal Hady', 'Aghniny Haque', 'Jeff Smith']",['Archie Hekagery']
The Doll 2,2017,"Horror, Thriller",5.2,117,"A mother uses her deceased daughter's doll as a medium to communicate with her, but the consequences are chilling.","['Herjunot Ali', 'Luna Maya', 'Sara Wijayanto', 'Maria Sabta']",['Rocky Soraya']
Permainan Binal,1995,"Drama, Horror",7.8,100,"A bankrupt schemer tries to get his hands on a wealthy widow's money but the daughter intervenes. Meanwhile, a mysterious killer is running amok.","['Ibra Azhari', 'Windy Chindyana', 'Sonny Dewantara', 'Elizabeth Ivone']",['Yonky Souhoka']
Buya Hamka,2023,"Biography, Drama",7.0,106,"Before becoming a figure known to many people, Hamka has gone through several changes, starting from childhood, adolescence, to starting a family.","['Vino G. Bastian', 'Laudya Cynthia Bella', 'Donny Damara', 'Anjasmara']",['Fajar Bustomi']
Kisah untuk Geri,2021,"Drama, Romance",8.4,50,"Dinda's life changed 180 degrees because her father's corruption. This gave her the courage to ask Geri, her long-time enemy at school to be her boyfriend to restore her reputation.","['Angga Yunanda', 'Syifa Hadju', 'Jennifer Coppen', 'Elina Joerg']",[]
Mendarat Darurat,2022,"Comedy, Romance",6.2,113,"Glen was surprised when he accidentally cheated on death, with infidelity. Now the real problem is: How will he explain his luck to Maya, his wife? Or will Maya turn to be the end of Glen's life?","['Reza Rahadian', 'Luna Maya', 'Marissa Anita', 'Pandji Pragiwaksono']",['Pandji Pragiwaksono']
Kafir: Bersekutu dengan Setan,2018,"Drama, Horror, Mystery",6.6,97,A family is being haunted by some strange happenings after the death of the father.,"['Putri Ayudya', 'Sujiwo Tejo', 'Indah Permatasari', 'Rangga Azof']",['Azhar Kinoi Lubis']
Ashiap Man,2022,"Action, Adventure, Comedy",2.8,102,A wannabe superhero struggles to help his village fight back against the evil corporation behind his father's death.,"['Atta Halilintar', 'Aurel Hermansyah', 'Nasya Marcella', 'Gritte Agatha']","['Atta Halilintar', 'Herdanius Larobu']"
Mariposa,2020,"Comedy, Drama, Romance",6.7,117,"Iqbal (Angga Yunanda) is like a Mariposa butterfly to Acha (Adhisty Zara). Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold.","['Angga Yunanda', 'Adhisty Zara', 'Dannia Salsabila', 'Abun Sungkar']",['Fajar Bustomi']
Kenikmatan Tabu,1994,Drama,5.3,95,Add a Plot,"['Kiki Fatmala', 'Inneke Koesherawati', 'Teguh Yulianto', 'Lela Anggraini']",['Ackyl Anwari']
Wiro Sableng 212,2018,"Action, Adventure, Comedy",6.9,123,"Indonesia, the 16th century, Wiro Sableng, a disciple from a mysterious Warrior named Sinto Gendeng, got a mission from his Master to take down Mahesa Birawa, her former disciple who betrayed her.","['Vino G. Bastian', 'Yayan Ruhian', 'Fariz Alfarazi', 'Ruth Marini']",['Angga Dwimas Sasongko']
Si Doel Anak Sekolahan,1994– ,"Comedy, Drama",9.0,60,"Doel loves Zaenab, but he also loves Sarah. Who should he choose? Witness the dilemma for a simple yet sophisticated Doel the Betawi boy as 'Anak Sekolahan' who navigates his life through the hard time of late New Order era in Indonesia","['Rano Karno', 'Maudy Koesnaedi', 'Cornelia Agatha', 'Benyamin S.']",[]
Ambo Nai Sopir Andalan,2022,"Comedy, Drama",9.4,83,Add a Plot,"['Ambo Nai', 'Syaiful M.', 'Fendy Pratama', 'Diny Arishandy']",['Andi Burhamzah']
Putri untuk Pangeran,2020–2022,"Drama, Fantasy, Romance",8.2,,"The story of a girl who does not realize that she's actually an angel descendant, Putri is pursuing her education in Bunga Bangsa University while trying to support her single mother. At ...                See full summary »","['Ranty Maria', 'Verrell Bramasta', 'Harini Sondakh', 'Evan Marvino']",[]
